CAMX IPR data extraction by EXT_IPR,CAMx v3.10 OTAG Test problem July 07                                            
The header from the first CAMx IPR file follows: 
     95188,      0.00,     95189,      0.00
Number of grids: ,         2
x-origin,y-origin,# cols,# rows,x-width,y-width
  -99.0000,   26.0000,        64,        63,    0.5000,    0.3333
  -91.8333,   32.1110,       137,       110,    0.1667,    0.1111
Number of species: ,        15
NO        
NO2       
O3        
PAR       
TOL       
ETH       
OLE       
PAN       
ISOP      
XYL       
FORM      
ALD2      
HNO3      
NXOY      
NTR       
Number of sub-domains: ,         2
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
         2,       107,       110,        78,        82,         1,         7
Number of processes: ,        24
Initial concentration    
Chemistry                
Area emissions           
Point source emissions   
Plume-in-Grid change     
West boundary advection  
East boundary advection  
South boundary advection 
North boundary advection 
Bottom boundary advection
Top boundary advection   
Dilution in the vertical 
West boundary diffusion  
East boundary diffusion  
South boundary diffusion 
North boundary diffusion 
Bottom boundary diffusion
Top boundary diffusion   
Dry deposition           
Wet deposition           
Fastaero                 
Final concentration      
Units conversion         
Average cell volume      
End of the CAMx IPR file header.
EXT_IPR extracted data for the following cells:  
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         2,       107,       110,        78,        82,         1,         7
The extracted data follow: 
Date,Time,Species,Initial concentration    ,Chemistry                ,Area emissions           ,Point source emissions   ,Plume-in-Grid change     ,West boundary advection  ,East boundary advection  ,South boundary advection ,North boundary advection ,Bottom boundary advection,Top boundary advection   ,Dilution in the vertical ,West boundary diffusion  ,East boundary diffusion  ,South boundary diffusion ,North boundary diffusion ,Bottom boundary diffusion,Top boundary diffusion   ,Dry deposition           ,Wet deposition           ,Fastaero                 ,Final concentration      ,Units conversion         ,Total Volume             ,Absolute Error,Relative Error
     95188,    100.00,FORM      , 0.10807468E+01, 0.44127795E-04, 0.21922996E-01, 0.70182532E-02, 0.00000000E+00, 0.33541521E+00,-0.29613626E+00, 0.33725575E+00,-0.37813252E+00, 0.00000000E+00, 0.56146906E-03, 0.00000000E+00,-0.24993011E-04,-0.19863590E-04,-0.22687980E-04,-0.11597091E-04, 0.00000000E+00, 0.00000000E+00,-0.12217092E-02, 0.00000000E+00, 0.00000000E+00, 0.11073958E+01, 0.29579943E-01, 0.13871706E+14, 0.76099695E-06, 0.70413995E-06
     95188,    100.00,ALD2      , 0.10635436E+00, 0.15687673E-03, 0.22709828E-01, 0.40447258E-03, 0.00000000E+00, 0.33041112E-01,-0.29432632E-01, 0.34376975E-01,-0.38989812E-01, 0.00000000E+00, 0.55328692E-04, 0.00000000E+00,-0.11622438E-04,-0.16529904E-04,-0.15140223E-04,-0.72608959E-05, 0.00000000E+00, 0.00000000E+00,-0.38616205E-03, 0.00000000E+00, 0.00000000E+00, 0.12823988E+00, 0.29579943E-01, 0.13871706E+14, 0.83209706E-07, 0.78238162E-06
     95188,    100.00,HNO3      , 0.15432011E+01, 0.45180649E-01, 0.00000000E+00, 0.00000000E+00, 0.41089468E-04, 0.48043534E+00,-0.42471409E+00, 0.48227543E+00,-0.54189295E+00, 0.00000000E+00, 0.79754909E-03, 0.00000000E+00,-0.14634911E-04,-0.22421527E-04,-0.82602992E-05,-0.14235320E-04, 0.00000000E+00, 0.00000000E+00,-0.59915106E-02, 0.00000000E+00, 0.00000000E+00, 0.15792730E+01, 0.29579943E-01, 0.13871706E+14,-0.12960955E-06, 0.83987466E-07
     95188,    100.00,NXOY      , 0.64065615E-02, 0.42283043E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.61572795E-02,-0.72512240E-02, 0.72822110E-02,-0.10187086E-01, 0.00000000E+00,-0.73174592E-05, 0.00000000E+00,-0.16664113E-04,-0.24382860E-04,-0.10258993E-04,-0.17440807E-04, 0.00000000E+00, 0.00000000E+00,-0.38106556E-03, 0.00000000E+00, 0.00000000E+00, 0.44233676E-01, 0.29579943E-01, 0.13871706E+14, 0.19704657E-07, 0.46601795E-06
     95188,    100.00,NTR       , 0.10119352E-05, 0.89202396E-04, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.41185749E-05,-0.51669745E-05, 0.57062211E-05,-0.10221336E-04, 0.00000000E+00,-0.59957816E-08, 0.00000000E+00,-0.15370205E-07,-0.66638030E-07,-0.10932572E-07,-0.37252512E-07, 0.00000000E+00, 0.00000000E+00,-0.53119339E-06, 0.00000000E+00, 0.00000000E+00, 0.83983556E-04, 0.29579943E-01, 0.13871706E+14, 0.11873479E-09, 0.13310718E-05
     95188,    200.00,NO        , 0.10119154E-11,-0.45598704E+00, 0.16470762E+00, 0.24114716E+00, 0.58843791E-01, 0.39331455E-03,-0.49761534E-02, 0.98199595E-03,-0.48743142E-02, 0.00000000E+00, 0.66901535E-07, 0.00000000E+00,-0.44243028E-04,-0.63259635E-04,-0.60175462E-04,-0.41327421E-04, 0.00000000E+00, 0.00000000E+00,-0.27082569E-04, 0.00000000E+00, 0.00000000E+00, 0.10123859E-11, 0.29566808E-01, 0.13871706E+14,-0.36230051E-06, 0.79454128E-06
     95188,    200.00,NO2       , 0.54529560E+00, 0.36813471E+00, 0.18217904E-01, 0.26794136E-01, 0.42557821E-01, 0.36259562E-01,-0.82037911E-01, 0.54207567E-01,-0.23267849E+00, 0.00000000E+00, 0.25897612E-04, 0.00000000E+00,-0.58789522E-03,-0.10113968E-02,-0.41324602E-03,-0.73133077E-03, 0.00000000E+00, 0.00000000E+00,-0.42180768E-02, 0.00000000E+00, 0.00000000E+00, 0.76981741E+00, 0.29566808E-01, 0.13871706E+14, 0.25463569E-05, 0.46696819E-05
     95188,    200.00,O3        , 0.34446354E+02,-0.49742192E+00, 0.00000000E+00, 0.00000000E+00,-0.62151611E-01, 0.10844194E+02,-0.95378551E+01, 0.11055689E+02,-0.12087729E+02, 0.00000000E+00, 0.35256357E-03, 0.00000000E+00, 0.55977213E-03, 0.10991390E-02, 0.41419038E-03, 0.77791710E-03, 0.00000000E+00, 0.00000000E+00,-0.39465707E-01, 0.00000000E+00, 0.00000000E+00, 0.34124821E+02, 0.29566808E-01, 0.13871706E+14, 0.24264009E-05, 0.70439995E-07
     95188,    200.00,PAR       , 0.41746855E+01,-0.15133568E-02, 0.95581031E+00, 0.15520188E-01, 0.00000000E+00, 0.98420107E+00,-0.91115153E+00, 0.10650270E+01,-0.14200656E+01, 0.00000000E+00, 0.30614920E-04, 0.00000000E+00,-0.15223796E-02,-0.14358705E-02,-0.14600038E-02,-0.11500224E-02, 0.00000000E+00, 0.00000000E+00,-0.14934922E-02, 0.00000000E+00, 0.00000000E+00, 0.48554811E+01, 0.29566808E-01, 0.13871706E+14,-0.11832831E-05, 0.28344243E-06
     95188,    200.00,TOL       , 0.54242432E-01,-0.10883587E-04, 0.46347372E-01, 0.58081490E-03, 0.00000000E+00, 0.26494164E-02,-0.35740226E-02, 0.38716535E-02,-0.15196970E-01, 0.00000000E+00, 0.61594541E-07, 0.00000000E+00,-0.76869743E-04,-0.60138627E-04,-0.84021194E-04,-0.62104526E-04, 0.00000000E+00, 0.00000000E+00,-0.25433738E-03, 0.00000000E+00, 0.00000000E+00, 0.88372082E-01, 0.29566808E-01, 0.13871706E+14,-0.31583528E-06, 0.58226606E-05
