CAMX IPR data extraction by EXT_IPR,CAMx v3.10 OTAG Test problem July 07                                            
The header from the first CAMx IPR file follows: 
     95188,      0.00,     95189,      0.00
Number of grids: ,         2
x-origin,y-origin,# cols,# rows,x-width,y-width
  -99.0000,   26.0000,        64,        63,    0.5000,    0.3333
  -91.8333,   32.1110,       137,       110,    0.1667,    0.1111
Number of species: ,        15
NO        
NO2       
O3        
PAR       
TOL       
ETH       
OLE       
PAN       
ISOP      
XYL       
FORM      
ALD2      
HNO3      
NXOY      
NTR       
Number of sub-domains: ,         2
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
         2,       107,       110,        78,        82,         1,         7
Number of processes: ,        24
Initial concentration    
Chemistry                
Area emissions           
Point source emissions   
Plume-in-Grid change     
West boundary advection  
East boundary advection  
South boundary advection 
North boundary advection 
Bottom boundary advection
Top boundary advection   
Dilution in the vertical 
West boundary diffusion  
East boundary diffusion  
South boundary diffusion 
North boundary diffusion 
Bottom boundary diffusion
Top boundary diffusion   
Dry deposition           
Wet deposition           
Fastaero                 
Final concentration      
Units conversion         
Average cell volume      
End of the CAMx IPR file header.
EXT_IPR extracted data for the following cells:  
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
The extracted data follow: 
Date,Time,Species,Initial concentration    ,Chemistry                ,Area emissions           ,Point source emissions   ,Plume-in-Grid change     ,West boundary advection  ,East boundary advection  ,South boundary advection ,North boundary advection ,Bottom boundary advection,Top boundary advection   ,Dilution in the vertical ,West boundary diffusion  ,East boundary diffusion  ,South boundary diffusion ,North boundary diffusion ,Bottom boundary diffusion,Top boundary diffusion   ,Dry deposition           ,Wet deposition           ,Fastaero                 ,Final concentration      ,Units conversion         ,Total Volume             ,Absolute Error,Relative Error
     95188,    100.00,FORM      , 0.10797433E+01,-0.23312781E-03, 0.26135137E-02, 0.10557938E-02, 0.00000000E+00,-0.44757754E-01, 0.28318360E-01,-0.60124667E-02, 0.12015881E-01, 0.00000000E+00, 0.10922374E-01, 0.00000000E+00,-0.37937909E-05,-0.10057256E-05,-0.57518804E-06,-0.99093204E-05, 0.00000000E+00, 0.00000000E+00,-0.92000503E-03, 0.00000000E+00, 0.00000000E+00, 0.10827305E+01, 0.29695790E-01, 0.17915106E+15,-0.71329033E-07, 0.66061105E-07
     95188,    100.00,ALD2      , 0.10625561E+00,-0.85518732E-04, 0.12696097E-01, 0.33488497E-04, 0.00000000E+00,-0.49783317E-02, 0.27768528E-02,-0.59497420E-03, 0.89141546E-03, 0.00000000E+00, 0.10748516E-02, 0.00000000E+00,-0.12969721E-05,-0.16594133E-05,-0.23394666E-05, 0.27022848E-04, 0.00000000E+00, 0.00000000E+00,-0.19828380E-03, 0.00000000E+00, 0.00000000E+00, 0.11789301E+00, 0.29695790E-01, 0.17915106E+15, 0.75580822E-07, 0.71131132E-06
     95188,    100.00,HNO3      , 0.15417680E+01, 0.24395872E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.64078659E-01, 0.40547054E-01,-0.85940333E-02, 0.17213162E-01, 0.00000000E+00, 0.15596086E-01, 0.00000000E+00,-0.51349075E-05,-0.23691846E-05,-0.17794358E-05,-0.13029822E-04, 0.00000000E+00, 0.00000000E+00,-0.24797600E-02, 0.00000000E+00, 0.00000000E+00, 0.15643451E+01, 0.29695790E-01, 0.17915106E+15,-0.29227434E-06, 0.18957088E-06
     95188,    100.00,NXOY      , 0.64006085E-02, 0.32248229E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.12844937E-02, 0.62744931E-03,-0.43107211E-04, 0.52561616E-04, 0.00000000E+00, 0.64746775E-04, 0.00000000E+00,-0.42818583E-05,-0.24568506E-05,-0.15778203E-05,-0.14123425E-04, 0.00000000E+00, 0.00000000E+00,-0.84199033E-04, 0.00000000E+00, 0.00000000E+00, 0.37959382E-01, 0.29695790E-01, 0.17915106E+15, 0.29615249E-07, 0.91835278E-06
     95188,    100.00,NTR       , 0.10109951E-05, 0.94610528E-04, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.22056113E-05, 0.40835494E-06, 0.25577753E-07,-0.35216607E-06, 0.00000000E+00, 0.10226943E-07, 0.00000000E+00,-0.37737045E-07,-0.12999320E-07,-0.19886224E-08,-0.60038367E-07, 0.00000000E+00, 0.00000000E+00,-0.26316832E-06, 0.00000000E+00, 0.00000000E+00, 0.93132076E-04, 0.29695790E-01, 0.17915106E+15, 0.10357913E-09, 0.10947950E-05
     95188,    200.00,NO        , 0.10110251E-11,-0.12853113E+00, 0.45082849E-01, 0.86111471E-01, 0.00000000E+00,-0.19635519E-02,-0.21105645E-04,-0.30973330E-04,-0.46100284E-03, 0.00000000E+00, 0.49688134E-06, 0.00000000E+00,-0.47751058E-04,-0.20147903E-04,-0.13745592E-04,-0.95908319E-04, 0.00000000E+00, 0.00000000E+00,-0.96986287E-05, 0.00000000E+00, 0.00000000E+00, 0.10117169E-11, 0.29677499E-01, 0.17915106E+15, 0.19939590E-06, 0.15513433E-05
     95188,    200.00,NO2       , 0.17142004E+00, 0.84996052E-01, 0.47819307E-02, 0.95679350E-02, 0.00000000E+00,-0.11112395E-01, 0.11440336E-02,-0.62447001E-03,-0.18382234E-02, 0.00000000E+00, 0.86751423E-03, 0.00000000E+00,-0.19329195E-03,-0.92898990E-04,-0.48889458E-04,-0.47386379E-03, 0.00000000E+00, 0.00000000E+00,-0.53580513E-03, 0.00000000E+00, 0.00000000E+00, 0.25785866E+00, 0.29677499E-01, 0.17915106E+15, 0.10057422E-05, 0.58671212E-05
     95188,    200.00,O3        , 0.34838932E+02,-0.15480031E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.13943046E+01, 0.85416228E+00,-0.26474833E+00, 0.49417987E+00, 0.00000000E+00, 0.35116330E+00, 0.00000000E+00, 0.18147504E-03, 0.11344215E-03, 0.73039992E-04, 0.58537192E-03, 0.00000000E+00, 0.00000000E+00,-0.21054411E-01, 0.00000000E+00, 0.00000000E+00, 0.34704475E+02, 0.29677499E-01, 0.17915106E+15,-0.56573836E-05, 0.16238684E-06
     95188,    200.00,PAR       , 0.33483410E+01,-0.15986435E-02, 0.23119928E+00, 0.13360566E-01, 0.00000000E+00,-0.14936489E+00, 0.75669259E-01,-0.23642553E-01, 0.37185680E-01, 0.00000000E+00, 0.31212257E-01, 0.00000000E+00,-0.29121837E-03,-0.12777837E-03,-0.87944049E-04,-0.27867360E-03, 0.00000000E+00, 0.00000000E+00,-0.31664682E-03, 0.00000000E+00, 0.00000000E+00, 0.35612626E+01, 0.29677499E-01, 0.17915106E+15, 0.29746445E-05, 0.88839357E-06
     95188,    200.00,TOL       , 0.82252324E-02,-0.37933180E-05, 0.20828382E-02, 0.89372930E-04, 0.00000000E+00,-0.54082769E-03, 0.14735009E-03,-0.46774738E-04, 0.36491259E-04, 0.00000000E+00, 0.61278653E-04, 0.00000000E+00,-0.78946678E-05,-0.97319355E-06,-0.37093656E-06,-0.79723222E-05, 0.00000000E+00, 0.00000000E+00,-0.10295322E-04, 0.00000000E+00, 0.00000000E+00, 0.10023681E-01, 0.29677499E-01, 0.17915106E+15, 0.19117657E-07, 0.23242696E-05
